Name,Region URL,Region,Introduction Origin,Invasiveness,Occurrence,Quality
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Carcinus maenas,http://marineregions.org/mrgid/5664,North East Atlantic,,,,unreviewed
Carcinus maenas,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Carcinus maenas,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Carcinus maenas,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Carcinus maenas,http://marineregions.org/mrgid/1912,North Atlantic,,,,unreviewed
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Established,checked
Carcinus maenas,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Palaemon macrodactylus,http://marineregions.org/mrgid/5165,North American Basin,,,,unreviewed
Palaemon macrodactylus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Palaemon macrodactylus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Palaemon macrodactylus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Established,checked
Bugula neritina,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Bugula neritina,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Bugula neritina,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Established,trusted
Bugula neritina,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,trusted
Tricellaria inopinata,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Tricellaria inopinata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Of concern,Established and expanding,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,In captivity/cultivated,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Didemnum vexillum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diplosoma listerianum,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diplosoma listerianum,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diplosoma listerianum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diplosoma listerianum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diplosoma listerianum,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Styela clava,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Botrylloides violaceus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Recorded in error,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Botryllus schlosseri,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Botryllus schlosseri,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,unreviewed
Botryllus schlosseri,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Botryllus schlosseri,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Ascidiella aspersa,http://marineregions.org/mrgid/5664,North East Atlantic,,,,unreviewed
Ascidiella aspersa,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Ascidiella aspersa,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ascidiella aspersa,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Ciona intestinalis,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Of concern,Established,unreviewed
Ciona intestinalis,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Invasive,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Ciona intestinalis,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Cladophora sericea,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Cladophora sericea,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Cladophora sericea,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Bryopsis plumosa,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Bryopsis plumosa,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Ulva lactuca,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Ulva lactuca,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Ulva rigida,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Ulva rigida,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Ectopleura larynx,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Ectopleura larynx,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Obelia bidentata,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Obelia bidentata,http://marineregions.org/mrgid/7135,North West Atlantic,,,,checked
Obelia bidentata,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Obelia dichotoma,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Obelia dichotoma,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Obelia dichotoma,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Harmothoe imbricata,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Harmothoe imbricata,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Harmothoe imbricata,http://marineregions.org/mrgid/4554,Grand Banks,,,,unreviewed
Nereis pelagica,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Nereis pelagica,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Phyllodoce maculata,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Dipolydora socialis,http://marineregions.org/mrgid/4554,Grand Banks,,,,unreviewed
Caprella equilibra,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Caprella equilibra,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Cryptosula pallasiana,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Cryptosula pallasiana,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Cryptosula pallasiana,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
